sent,type,original_sent
"And what about those allusions to Elvis , Aleister Crowley , cosmology and the villa of Ormen ?",['a1_special_questions'],"And what about those allusions to Elvis, Aleister Crowley, cosmology and the villa of Ormen?"
So what is it about Zelda that fascinates almost 70 years after her tragic end ?,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_special_questions']",So what is it about Zelda that fascinates almost 70 years after her tragic end?
"During the encounter King asked Azarov a series of softball questions , including : What do you like most about your job ?","['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a1_special_questions', 'a2_relative_clause_others']","During the encounter King asked Azarov a series of softball questions, including: What do you like most about your job?"
Now voters in America will have to ask themselves : are these values they want in their country ?,"['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_future_simple', 'a1_special_questions']",Now voters in America will have to ask themselves: are these values they want in their country?
"But why is a truly singular performance , or one number one hit , or one perfect book something to disdain ?","['a1_to_be_present_is_am_are', 'a1_special_questions', 'a2_to_non_finite_forms']","But why is a truly singular performance, or one number one hit, or one perfect book something to disdain?"
"If you 're a whisky sceptic , say , why not try a younger , fruitier kind that has none of the peaty notes that are characteristic of many bottles of Scotch ?","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_special_questions', 'a2_zero_conditional_if_m']","If you're a whisky sceptic, say, why not try a younger, fruitier kind that has none of the peaty notes that are characteristic of many bottles of Scotch?"
"If San Francisco does n't rank among the most cities in the world , which city could ?","['a1_present_simple_3d_pers', 'a1_special_questions', 'a2_could']","If San Francisco doesn't rank among the most cities in the world, which city could?"
"Why are you letting their , her dog go after the protesters ?","['a1_present_continuous_act_rn', 'a1_special_questions']","Why are you letting their, her dog go after the protesters?"
"The European commission president , Juncker , has clashed bitterly with Nigel Farage , pointedly asking the Ukip leader in front of the European parliament in Brussels : Why are you still here ?","['a1_to_be_present_is_am_are', 'a1_special_questions', 'a2_present_perfect']","The European commission president, Juncker, has clashed bitterly with Nigel Farage, pointedly asking the Ukip leader in front of the European parliament in Brussels: Why are you still here?"
The British people voted in favour of the exit why are you here ?,"['a1_to_be_present_is_am_are', 'a1_past_simple_reg', 'a1_special_questions']",The British people voted in favour of the exit why are you here?
"In almost poetic tones , Le Pen exclaimed : Dear colleagues , why are you getting het up ?","['a1_present_continuous_act_rn', 'a1_past_simple_reg', 'a1_special_questions']","In almost poetic tones, Le Pen exclaimed: Dear colleagues, why are you getting het up?"
"For me , the headline for season two is : how do these two guys Elliot and Mr Robot reconcile ?","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_special_questions']","For me, the headline for season two is: how do these two guys Elliot and Mr Robot reconcile?"
"How does Elliot reconcile with the fact that he 's been seeing a delusion , a fantasy ?","['a1_present_simple_3d_pers', 'a1_special_questions', 'a2_present_perfect']","How does Elliot reconcile with the fact that he's been seeing a delusion, a fantasy?"
"When you pay a baker $ 20 to bake a cake , what are you paying that baker to do ?","['a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a1_special_questions', 'a2_to_non_finite_forms']","When you pay a baker $20 to bake a cake, what are you paying that baker to do?"
So how does one tackle a task as weighty as translating a religious text ?,"['a1_present_simple_3d_pers', 'a1_special_questions']",So how does one tackle a task as weighty as translating a religious text?
How can I get what 's right from a country like Australia that violated my human rights ?,"['a1_to_be_present_is_am_are', 'a1_can', 'a1_past_simple_reg', 'a1_special_questions']",How can I get what's right from a country like Australia that violated my human rights?
Why should I keep them and feed them in prisons for years to come ?,"['a1_special_questions', 'a2_should', 'a2_to_non_finite_forms']",Why should I keep them and feed them in prisons for years to come?
Given this dilemma - constantly returning to a past he wants distance from - where does his sense of self come from ?,"['a1_present_simple_3d_pers', 'a1_special_questions']",Given this dilemma - constantly returning to a past he wants distance from - where does his sense of self come from?
"And when you start to think about giving the concept of Themyscira its due , the answer is , ' How can they not all be in same sex relationships ? '","['a1_to_be_present_is_am_are', 'a1_can', 'a1_present_simple_reg_act', 'a1_special_questions', 'a2_to_non_finite_forms']","And when you start to think about giving the concept of Themyscira its due, the answer is, 'How can they not all be in same sex relationships?'"
Why grow food when they can grow it for us more cheaply in Africa ?,"['a1_can', 'a1_present_simple_reg_act', 'a1_special_questions', 'a2_zero_conditional_m_if']",Why grow food when they can grow it for us more cheaply in Africa?
Why keep all these consumer and environmental protections when they simply obstruct the functioning of the market ?,"['a1_present_simple_reg_act', 'a1_special_questions']",Why keep all these consumer and environmental protections when they simply obstruct the functioning of the market?
What are the best - and worst - things about Canadian city life ?,"['a1_superlative_exept', 'a1_to_be_present_is_am_are', 'a1_special_questions']",What are the best - and worst - things about Canadian city life?
"If they all decide to go down the path Thiel took , how many publications will be left when they 're done ?","['a1_present_simple_reg_act', 'a1_special_questions', 'a2_is_am_are_going_to', 'a2_to_non_finite_forms']","If they all decide to go down the path Thiel took, how many publications will be left when they're done?"
"Then Chris brought up another idea : what about the three of them together , he asked carefully .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_special_questions']","Then Chris brought up another idea: what about the three of them together, he asked carefully."
"How many schools , hospitals and families must be bombed before Syria becomes a priority ?","['a1_present_simple_3d_pers', 'a1_special_questions']","How many schools, hospitals and families must be bombed before Syria becomes a priority?"
